fileid,filename
c9088439-a4fb-4b1d-bd78-dfcd507b6715,RAD_BEDOUR_20240622_0000_BEHUMA_SYS006
fbb2a397-a087-46c4-b09f-0310e310ff6d,RAD_BEDOUR_20240622_0005_BEHUMA_SYS006
ae41fe3f-93bd-4644-bb5f-4cac06904755,RAD_BEDOUR_20240622_0010_BEHUMA_SYS006
db3ade85-dcde-4fbf-b868-d257891ef27d,RAD_BEDOUR_20240622_0015_BEHUMA_SYS006
ae53cc92-f2f9-46d3-8db4-41736515a324,RAD_BEDOUR_20240622_0020_BEHUMA_SYS006
276a929a-362e-42f9-93ac-cf7a43372c4d,RAD_BEDOUR_20240622_0025_BEHUMA_SYS006
353b0840-186f-4822-ab13-70f06b57fdf6,RAD_BEDOUR_20240622_0030_BEHUMA_SYS006
c905a86e-eddd-4f10-ac94-25ad290a20da,RAD_BEDOUR_20240622_0035_BEHUMA_SYS006
b1400280-34e8-4638-866f-ee35a5518529,RAD_BEDOUR_20240622_0040_BEHUMA_SYS006
97bb526a-a8f5-4d39-984f-46005c592cf9,RAD_BEDOUR_20240622_0045_BEHUMA_SYS006
496bde1d-4de2-4d5a-92e6-b8f9f1956465,RAD_BEDOUR_20240622_0050_BEHUMA_SYS006
31d1b3a5-edac-420e-b774-66a8f3f72ae4,RAD_BEDOUR_20240622_0055_BEHUMA_SYS006
c1dfdd75-2a0c-4510-a288-3c18d7a60872,RAD_BEDOUR_20240622_0100_BEHUMA_SYS006
f71b2111-96a7-47a1-aec4-6375856eaa1e,RAD_BEDOUR_20240622_0000_BEHUMA_SYS001
a4cdccb0-1fdd-439c-82f1-88c805946260,RAD_BEDOUR_20240622_0005_BEHUMA_SYS001
f87095ce-0a01-43e5-a92b-f5e3329c1632,RAD_BEDOUR_20240622_0010_BEHUMA_SYS001
266ec7b5-946d-493e-a895-b908eff687ec,RAD_BEDOUR_20240622_0015_BEHUMA_SYS001
08bff54c-e6e1-4134-bde7-54ea02c0b635,RAD_BEDOUR_20240622_0020_BEHUMA_SYS001
5073774b-7c74-4484-978f-a5f5fafcfacb,RAD_BEDOUR_20240622_0025_BEHUMA_SYS001
a7b21dce-b750-43b9-b2cd-233087b8d8c9,RAD_BEDOUR_20240622_0030_BEHUMA_SYS001
68defe1f-850b-4b64-92b0-4c4a9e978243,RAD_BEDOUR_20240622_0035_BEHUMA_SYS001
cdc1ddbf-57ae-4d97-bd67-c924825870d2,RAD_BEDOUR_20240622_0040_BEHUMA_SYS001
0028478a-f40d-4ec7-ab4d-21aeda96f0e6,RAD_BEDOUR_20240622_0045_BEHUMA_SYS001
40a253fc-0a14-4c52-9588-097480f91f09,RAD_BEDOUR_20240622_0050_BEHUMA_SYS001
92784d71-7103-417f-b9b0-f56288dfeb64,RAD_BEDOUR_20240622_0055_BEHUMA_SYS001
4796aac9-d6e5-4e9a-99c7-05e9e99cede7,RAD_BEDOUR_20240622_0100_BEHUMA_SYS001
1984c6b6-67ab-4c4b-b685-b71d13f1e3a1,RAD_BEDOUR_20240622_0000_BEHUMA_SYS004
53ebba91-1c2b-4bb9-b34e-ab32779a731d,RAD_BEDOUR_20240622_0005_BEHUMA_SYS004
bbfe0d79-4fce-495f-96bb-cadea968de26,RAD_BEDOUR_20240622_0010_BEHUMA_SYS004
e9e0001d-05ed-4fc9-be22-808d7c73c026,RAD_BEDOUR_20240622_0015_BEHUMA_SYS004
e1e6a8bc-0441-4d7a-a48b-ea8726699099,RAD_BEDOUR_20240622_0020_BEHUMA_SYS004
7d01ce15-c5bc-4bab-9aa1-210492f8b62a,RAD_BEDOUR_20240622_0025_BEHUMA_SYS004
ef361ae2-a500-4eaf-8903-fffc5b4f2b63,RAD_BEDOUR_20240622_0030_BEHUMA_SYS004
d041b145-da3a-4a42-ad48-9b71af0eaab0,RAD_BEDOUR_20240622_0035_BEHUMA_SYS004
55281123-ade6-4731-afed-d4a07f9c37b7,RAD_BEDOUR_20240622_0040_BEHUMA_SYS004
370328bd-1c4e-4ca1-9f72-918bee73132f,RAD_BEDOUR_20240622_0045_BEHUMA_SYS004
2fd164fe-4266-44ad-ae2c-cc44614c113b,RAD_BEDOUR_20240622_0050_BEHUMA_SYS004
b15fbd65-25fc-4b01-b5a1-2d01c352c48f,RAD_BEDOUR_20240622_0055_BEHUMA_SYS004
c6a903df-4aaa-4881-9be4-d96e26866223,RAD_BEDOUR_20240622_0100_BEHUMA_SYS004
fae217f0-5922-4eb6-a37e-5f2f95074293,RAD_BEDOUR_20240622_0000_BEHUMA_SYS005
652930f5-d93f-49c8-8a08-d76a02741460,RAD_BEDOUR_20240622_0005_BEHUMA_SYS005
8a8dc791-e4b4-41fd-8add-eb13ae052c03,RAD_BEDOUR_20240622_0010_BEHUMA_SYS005
cb695df2-656b-40d1-b03d-d25ff083b3ad,RAD_BEDOUR_20240622_0015_BEHUMA_SYS005
8b2d9d0f-5d16-443f-8d57-e17dc526efb9,RAD_BEDOUR_20240622_0020_BEHUMA_SYS005
c147fda4-b79d-4ed8-92e7-2734b4ff5442,RAD_BEDOUR_20240622_0025_BEHUMA_SYS005
2a234f10-11e8-4dcb-a977-508018c1cb4d,RAD_BEDOUR_20240622_0030_BEHUMA_SYS005
60712475-61b6-477a-bc8f-52b19e7d2e54,RAD_BEDOUR_20240622_0035_BEHUMA_SYS005
f55f94ee-03ef-46ba-b140-58f9c1505365,RAD_BEDOUR_20240622_0040_BEHUMA_SYS005
1f0ee96d-72a5-46cf-9dec-cc153d4a29a3,RAD_BEDOUR_20240622_0045_BEHUMA_SYS005
105b3c5a-d35d-41a9-8710-7032d9375b4f,RAD_BEDOUR_20240622_0050_BEHUMA_SYS005
fb05560a-5fc1-48f1-b8c9-d0132ae57ce9,RAD_BEDOUR_20240622_0055_BEHUMA_SYS005
06321649-ef01-49cc-a372-06d98ae0471d,RAD_BEDOUR_20240622_0100_BEHUMA_SYS005
8489e36a-b55a-438e-ad28-bcdf9a6bf691,RAD_BEDOUR_20240622_0000_BEHUMA_SYS002
df1a4ae0-669d-436a-9bd3-c4f75d81682f,RAD_BEDOUR_20240622_0005_BEHUMA_SYS002
41c1b480-b6a3-46e0-ae81-6020026fc7f7,RAD_BEDOUR_20240622_0010_BEHUMA_SYS002
ba7172d6-1705-40e4-be0a-9dd9c4065f1f,RAD_BEDOUR_20240622_0015_BEHUMA_SYS002
9e86a646-c886-4248-b710-04ecd24ba6ee,RAD_BEDOUR_20240622_0020_BEHUMA_SYS002
c96a516c-2c8b-4ee3-b561-fb06f1960305,RAD_BEDOUR_20240622_0025_BEHUMA_SYS002
2877834b-20dc-459f-b596-9810011d6f3c,RAD_BEDOUR_20240622_0030_BEHUMA_SYS002
da238d28-f2b8-4dd8-bf14-9aae48653622,RAD_BEDOUR_20240622_0035_BEHUMA_SYS002
10f06895-89ab-4a95-98ab-a42802bd90d1,RAD_BEDOUR_20240622_0040_BEHUMA_SYS002
dd2ae5af-6122-487d-a1bd-3fe257c935e1,RAD_BEDOUR_20240622_0045_BEHUMA_SYS002
2730a8b1-2d3f-4471-a904-c7c0e270a8a0,RAD_BEDOUR_20240622_0050_BEHUMA_SYS002
b7908811-bb68-4b76-86fb-06449b21b103,RAD_BEDOUR_20240622_0055_BEHUMA_SYS002
0daa1cd7-8657-41d5-8602-2d558212b4ee,RAD_BEDOUR_20240622_0100_BEHUMA_SYS002
4ebf4eee-8f4b-4526-a584-b7b0010959ce,RAD_BEDOUR_20240622_0000_BEHUMA_SYS003
5e9739a5-d947-4915-8fe8-4d6174233a4c,RAD_BEDOUR_20240622_0005_BEHUMA_SYS003
713f4440-90c9-4f84-a48a-35722d60c531,RAD_BEDOUR_20240622_0010_BEHUMA_SYS003
176d585a-8757-44bf-8672-47c861145f91,RAD_BEDOUR_20240622_0015_BEHUMA_SYS003
e60fa97c-0fab-4c17-8165-acdd60c3826e,RAD_BEDOUR_20240622_0020_BEHUMA_SYS003
cf4ed5f4-e763-4502-b22b-f3d3736d6a2a,RAD_BEDOUR_20240622_0025_BEHUMA_SYS003
540d0c7b-fe39-474b-8892-b8d8de6cc5e6,RAD_BEDOUR_20240622_0030_BEHUMA_SYS003
8adbb7ab-9d27-40d6-a8b6-17c735336ec9,RAD_BEDOUR_20240622_0035_BEHUMA_SYS003
1ed50d33-c628-4e96-afe3-d687560b1431,RAD_BEDOUR_20240622_0040_BEHUMA_SYS003
d32bddbd-d710-4737-bd87-d3dd1ea3cb47,RAD_BEDOUR_20240622_0045_BEHUMA_SYS003
2edbf19e-02f1-45d0-8267-79c5f7ad3445,RAD_BEDOUR_20240622_0050_BEHUMA_SYS003
7218828d-1fde-468e-80b3-82b12b8b920c,RAD_BEDOUR_20240622_0055_BEHUMA_SYS003
e23bf89c-5606-47a8-8497-9e4f9637df3e,RAD_BEDOUR_20240622_0100_BEHUMA_SYS003
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
